,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
67,Georgetown,75,GY,1514350800,100,6.8,-58.16,296.15,3.1
68,Cidreira,0,BR,1514355369,94,-30.17,-50.22,293.706,4.56
69,Albany,1,US,1514354040,60,42.65,-73.75,261.15,4.1
70,Castro,12,CL,1514355374,99,-42.48,-73.76,280.356,2.51
71,Byron Bay,40,AU,1514354400,61,-28.65,153.62,300.15,7.2
72,Duncan,90,US,1514354160,58,34.5,-97.96,271.15,7.7
73,Santa Cruz del Norte,20,CU,1514350500,94,23.15,-81.92,297.15,2.1
74,Port Hueneme,20,US,1514350560,87,34.15,-119.2,285.15,1.5
75,Tamandare,56,BR,1514355377,96,-8.28,-70.75,296.431,1.16
76,Comodoro Rivadavia,0,AR,1514350800,41,-45.87,-67.48,289.15,16.5
77,Kahului,90,US,1514352300,88,20.89,-156.47,296.15,4.6
78,Qaanaaq,0,GL,1514355379,98,77.48,-69.36,250.456,5.11
79,Yulara,75,AU,1514354400,51,-25.24,130.99,303.15,7.7
80,Narsaq,8,GL,1514355380,75,60.91,-46.05,268.031,12.86
81,Barrow,0,AR,1514355381,80,-38.31,-60.23,287.131,3.31
82,Mount Isa,40,AU,1514354400,17,-20.73,139.49,315.15,2.6
83,Lorengau,80,PG,1514355381,100,-2.02,147.27,301.831,2.36
84,Collipulli,0,CL,1514355384,85,-37.96,-72.44,284.356,1.61
85,Salinopolis,76,BR,1514355386,100,-0.61,-47.36,299.181,3.01
86,Trincomalee,36,LK,1514355388,83,8.58,81.23,300.781,5.96
87,Rio Gallegos,0,AR,1514350800,76,-51.62,-69.22,282.15,0.71
88,Sesheke,90,NA,1514350800,88,-17.47,24.29,295.15,1.5
89,Lagos,0,NG,1514350800,83,6.46,3.39,295.15,1.31
90,Saskylakh,68,RU,1514355391,67,71.97,114.09,254.706,10.96
91,Liku,76,ID,1514355392,77,-0.73,119.89,302.931,1.21
92,Longyearbyen,75,NO,1514353800,57,78.22,15.63,265.15,6.7
93,Ribeira Grande,20,PT,1514355393,100,38.52,-28.7,290.481,7.51
94,Cape Town,0,ZA,1514350800,77,-33.93,18.42,290.15,3.6
95,Havre-Saint-Pierre,40,CA,1514354880,71,50.23,-63.6,259.15,13.4
96,Bethel,90,US,1514353980,100,60.79,-161.76,269.15,2.6
97,Shar,0,NG,1514355398,42,7.3,8.73,294.031,5.91
98,Baykit,68,RU,1514355400,82,61.68,96.39,263.581,3.66
99,New Norfolk,0,AU,1514354400,30,-42.78,147.06,303.15,5.7
100,Sibolga,88,ID,1514355403,92,1.74,98.78,296.456,1.16
101,Derzhavinsk,76,KZ,1514355404,84,51.1,66.31,263.956,7.81
102,Bismarck,1,US,1514353920,75,46.81,-100.78,246.15,1.26
103,Solnechnyy,76,RU,1514355405,69,50.72,136.64,260.531,5.91
104,Esperance,75,TT,1514350800,94,10.24,-61.45,297.15,2.71
105,Flin Flon,24,CA,1514355406,56,54.77,-101.88,244.456,2.26
106,Cabo San Lucas,40,MX,1514349900,35,22.89,-109.91,294.15,3.1
107,Manokwari,12,ID,1514355407,100,-0.87,134.08,301.731,1.81
108,Namibe,76,AO,1514355407,100,-15.19,12.15,293.581,1.06
109,Tura,0,IN,1514355408,72,25.52,90.21,296.781,1.61
110,Druzhba,8,UA,1514355408,79,49.36,25.65,272.356,3.31
111,Victoria,75,BN,1514352600,79,5.28,115.24,303.15,1.5
112,San Patricio,32,PY,1514355409,95,-26.98,-56.83,294.681,1.06
113,Port Angeles,90,US,1514354400,100,48.12,-123.43,276.15,0.81
114,Rokytne,36,UA,1514355410,94,51.27,27.23,275.281,3.76
115,Nemuro,40,JP,1514350800,53,43.32,145.57,268.15,5.1
116,Komsomolskiy,64,RU,1514355413,73,67.55,63.78,255.481,4.31
117,Waipawa,80,NZ,1514355415,82,-39.94,176.59,284.206,6.21
118,Port Elizabeth,75,US,1514354160,79,39.31,-74.98,274.15,1.5
119,Bathsheba,40,BB,1514350800,83,13.22,-59.52,299.15,9.3
120,Sabratah,0,LY,1514355420,100,32.79,12.49,286.381,7.71
121,Noshiro,75,JP,1514352900,100,40.21,140.05,269.15,7.2
122,Villa Corzo,40,MX,1514349720,82,16.19,-93.27,293.15,0.76
123,Naze,0,NG,1514355421,70,5.43,7.07,290.856,1.61
124,Provideniya,48,RU,1514355421,100,64.42,-173.23,268.631,4.01
125,Camopi,76,GF,1514355422,97,3.17,-52.33,296.456,1.01
126,Port Hardy,90,CA,1514354400,93,50.7,-127.42,275.15,2.6
127,Cherskiy,0,RU,1514355423,0,68.75,161.3,234.106,0.91
128,Pangnirtung,8,CA,1514355423,54,66.15,-65.72,252.756,1.31
129,Jamestown,88,AU,1514355424,20,-33.21,138.6,308.881,5.31
130,Arraial do Cabo,68,BR,1514355424,99,-22.97,-42.02,297.256,2.76
131,Vestmannaeyjar,32,IS,1514355427,100,63.44,-20.27,273.381,8.81
132,La Ronge,32,CA,1514355433,30,55.1,-105.3,243.631,1.76
133,Kieta,80,PG,1514355433,97,-6.22,155.63,300.381,1.41
134,Severo-Kurilsk,88,RU,1514355434,100,50.68,156.12,272.831,3.76
135,Halifax,75,CA,1514354400,85,44.65,-63.58,263.15,7.7
136,Manacapuru,92,BR,1514355434,100,-3.3,-60.62,295.856,2.01
137,Les Cayes,0,HT,1514355435,100,18.19,-73.75,299.281,1.76
138,Tasiilaq,68,GL,1514355435,100,65.61,-37.64,263.706,10.91
139,Goundam,0,ML,1514355436,53,16.42,-3.66,288.281,5.46
140,Mogadishu,20,SO,1514350800,78,2.04,45.34,299.15,7.7
141,East London,0,ZA,1514350800,72,-33.02,27.91,292.15,2.6
142,Lasa,20,CY,1514354400,71,34.92,32.53,288.15,3.6
143,Calama,0,CL,1514350800,33,-22.46,-68.93,281.15,4.1
144,Bambous Virieux,40,MU,1514350800,66,-20.34,57.76,302.15,5.7
145,Airai,64,TL,1514355441,69,-8.93,125.41,300.881,0.91
146,Nantucket,1,US,1514352900,52,41.28,-70.1,269.15,3.1
147,Nome,90,US,1514354100,93,30.04,-94.42,280.15,4.6
148,Berlevag,75,NO,1514353800,79,70.86,29.09,268.15,5.7
149,Antoniny,76,UA,1514355448,89,49.81,26.86,274.106,4.31
150,Kruisfontein,8,ZA,1514355448,78,-34.0,24.73,292.531,1.56
151,Murgab,0,TM,1514350800,74,37.5,61.97,274.15,2.1
152,Sur,8,OM,1514355449,100,22.57,59.53,294.381,3.91
153,Talnakh,64,RU,1514355450,71,69.49,88.39,251.831,1.31
154,Yuanping,0,CN,1514355450,25,38.72,112.71,279.706,1.41
155,Petropavlovsk-Kamchatskiy,40,RU,1514352600,68,53.05,158.65,272.15,1.0
156,Kwinana,0,AU,1514354400,33,-32.25,115.77,300.15,8.7
157,Groa,0,FR,1514354400,86,48.67,-4.14,280.15,12.9
158,Sitka,68,US,1514355452,66,37.17,-99.65,261.881,3.76
159,Ulladulla,75,AU,1514350800,57,-35.36,150.48,298.15,8.2
160,Cabedelo,20,BR,1514350800,83,-6.97,-34.84,298.15,2.6
161,Upernavik,0,GL,1514355457,100,72.79,-56.15,261.356,4.86
162,Chazuta,88,PE,1514355459,94,-6.57,-76.13,295.681,0.56
163,Rocha,48,UY,1514355461,65,-34.48,-54.34,293.606,1.16
164,Portland,90,US,1514354160,74,45.52,-122.67,274.15,3.1
165,Geraldton,5,CA,1514354400,73,49.72,-86.95,236.15,1.5
166,Haines Junction,0,CA,1514355462,43,60.75,-137.51,239.031,0.96
167,Atambua,20,ID,1514355463,97,-9.11,124.89,301.681,2.01
168,Isangel,36,VU,1514355463,100,-19.55,169.27,298.831,6.26
169,Eureka,90,US,1514354100,81,40.8,-124.16,284.15,1.5
170,Mount Gambier,88,AU,1514355464,28,-37.83,140.78,306.706,3.16
171,Nchelenge,92,ZM,1514355465,100,-9.35,28.74,292.631,1.51
172,Narasannapeta,0,IN,1514355465,42,18.42,84.04,301.256,1.76
173,Hilton Head Island,1,US,1514354160,76,32.16,-80.75,282.15,4.6
174,Brezovica pri Ljubljani,90,SI,1514354400,100,46.02,14.42,283.15,0.5
175,Atar,64,MR,1514355467,39,20.52,-13.05,286.481,4.66
176,Mareeba,20,AU,1514354400,55,-16.99,145.42,304.15,4.6
177,Carnarvon,12,ZA,1514355468,20,-30.97,22.13,293.256,2.31
178,Lompoc,1,US,1514354280,93,34.64,-120.46,282.15,2.01
179,Oga,0,NG,1514355469,72,8.18,5.65,286.781,1.86
180,Atasu,76,KZ,1514355469,85,48.68,71.64,266.331,11.61
181,Villa Bruzual,12,VE,1514355472,75,9.33,-69.12,297.031,3.41
182,Gama,20,BR,1514350800,83,-16.02,-48.07,295.15,1.0
183,Beloha,88,MG,1514355474,55,-25.17,45.06,298.531,7.01
184,Masvingo,80,ZW,1514355476,99,-20.08,30.83,289.206,5.91
185,Lithakia,75,GR,1514353800,100,37.72,20.83,284.15,1.5
186,Saint Anthony,90,US,1514350380,85,43.97,-111.68,266.15,1.36
187,Ormara,0,PK,1514355479,85,25.21,64.64,295.181,4.01
188,Thompson,40,CA,1514354400,73,55.74,-97.86,238.15,2.11
189,Palmer,0,AU,1514354400,39,-34.85,139.16,300.15,9.3
190,Mar del Plata,88,AR,1514355480,46,-46.43,-67.52,288.131,8.76
191,Udachnyy,8,RU,1514355481,53,66.42,112.4,252.481,3.56
192,Burns Lake,68,CA,1514355481,86,54.23,-125.76,250.881,1.11
193,Sabang,48,PH,1514355482,100,13.72,123.58,298.706,4.11
194,Magadan,75,RU,1514352600,74,59.56,150.8,271.15,9.0
195,Hammerfest,40,NO,1514353800,100,70.66,23.68,269.15,1.5
196,Bonavista,64,CA,1514355484,100,48.65,-53.11,270.531,16.01
197,Doha,0,QA,1514350800,68,25.29,51.53,291.15,6.7
198,Hamilton,40,BM,1514350500,63,32.3,-64.78,291.15,4.6
199,Altay,92,CN,1514355491,84,47.83,88.13,268.581,0.46
200,Bulembu,92,SZ,1514354400,82,-25.95,31.13,289.15,1.5
201,Laguna,8,MX,1514355492,70,27.52,-110.01,287.681,0.96
202,Rawson,36,AR,1514355493,66,-43.3,-65.11,287.031,5.71
203,Rio Tuba,76,PH,1514355493,100,8.51,117.43,299.106,2.41
204,Guymon,90,US,1514353980,92,36.68,-101.48,262.15,3.6
205,Muros,40,ES,1514354400,93,42.77,-9.06,279.15,3.6
206,Katherine,0,AU,1514354400,44,-14.47,132.26,309.15,1.5
207,Barra do Garcas,44,BR,1514355495,85,-15.89,-52.26,296.731,0.71
208,Mocuba,92,MZ,1514355496,100,-16.84,36.99,296.956,2.41
209,Waddan,64,LY,1514355496,89,29.16,16.14,276.281,1.26
210,Quesnel,90,CA,1514354820,77,52.98,-122.49,258.15,1.5
211,Mnogovershinnyy,80,RU,1514355498,82,53.94,139.92,266.756,6.56
212,Mitsamiouli,40,KM,1514350800,83,-11.38,43.28,301.15,3.6
213,Peleduy,64,RU,1514355501,33,59.63,112.75,242.356,1.11
214,Sao Paulo de Olivenca,92,BR,1514355503,94,-3.38,-68.87,295.956,1.16
215,Gaya,0,IN,1514352600,52,24.8,85.01,294.15,2.6
216,Abonnema,0,NG,1514355506,93,4.71,6.79,292.456,1.31
217,Ayapel,48,CO,1514355506,94,8.31,-75.14,295.956,1.31
218,Auki,0,NG,1514355507,56,12.18,6.51,288.206,4.76
219,College,1,US,1514354280,75,64.86,-147.8,249.15,1.16
220,Murray Bridge,56,AU,1514355508,46,-35.12,139.28,303.006,4.91
221,Luderitz,0,NA,1514350800,82,-26.65,15.16,287.15,5.1
222,Edea,0,CM,1514355509,90,3.8,10.13,296.331,1.56
223,Saint-Francois,90,FR,1514354400,65,46.42,3.91,281.15,3.1
224,Hambantota,12,LK,1514355510,93,6.12,81.12,301.631,6.26
225,Kloulklubed,90,PW,1514354100,70,7.04,134.26,304.15,5.7
226,Batemans Bay,80,AU,1514355511,91,-35.71,150.18,293.781,3.31
227,Manavalakurichi,20,IN,1514352600,66,8.13,77.3,303.15,3.1
228,Nesebar,90,BG,1514354400,100,42.66,27.74,277.15,2.6
229,Rio Grande,0,BR,1514355515,97,-32.03,-52.1,293.256,4.26
230,Jumla,0,NP,1514355516,49,29.28,82.18,279.206,0.71
231,Alofi,100,NU,1514350800,88,-19.06,-169.92,298.15,2.6
232,Haapiti,75,PF,1514354400,88,-17.57,-149.87,298.15,2.1
233,Sisimiut,0,GL,1514355520,100,66.94,-53.67,246.131,0.71
234,Nanortalik,76,GL,1514355521,91,60.14,-45.24,273.831,22.46
235,Ilulissat,32,GL,1514355521,100,69.22,-51.1,253.781,1.61
236,Alekseyevsk,92,RU,1514355521,72,57.84,108.35,258.331,3.11
237,Superior,1,US,1514355000,84,39.95,-105.17,262.15,1.66
238,Mata,20,CU,1514350200,94,22.63,-79.93,293.15,1.5
239,Khatanga,80,RU,1514355523,44,71.98,102.47,246.981,6.36
240,Dingle,24,PH,1514355524,74,11.0,122.67,302.106,6.41
241,Mongo,8,CF,1514355524,66,4.83,22.92,295.606,1.86
242,Pathalgaon,0,IN,1514355525,56,22.56,83.46,294.381,1.81
243,Maceio,20,BR,1514350800,94,-9.67,-35.74,296.15,2.76
244,Yantal,88,RU,1514355526,80,56.85,105.25,263.281,2.21
245,Morgan City,90,US,1514352900,100,29.7,-91.21,286.15,3.6
246,Pevek,0,RU,1514355530,84,69.7,170.27,240.681,2.66
247,Upata,88,VE,1514355531,96,8.02,-62.41,295.206,3.71
248,Lakhdenpokhya,92,RU,1514355533,95,61.52,30.2,271.281,6.01
249,Dwarka,8,IN,1514352600,55,28.58,77.04,292.15,3.1
250,Ambilobe,100,MG,1514355534,100,-13.19,49.05,297.106,1.96
251,Podor,44,MR,1514355535,40,16.65,-14.96,291.956,5.46
252,Beyneu,0,KZ,1514355535,73,45.32,55.19,263.681,3.66
253,Kaitangata,0,NZ,1514355536,50,-46.28,169.85,288.981,4.96
254,Yar-Sale,68,RU,1514355536,84,66.83,70.83,254.006,4.11
255,Mersing,44,MY,1514355537,88,2.43,103.84,301.531,3.11
256,Conde,0,BR,1514355330,99,-11.81,-37.61,296.456,3.21
257,Dunedin,8,NZ,1514355538,57,-45.87,170.5,288.006,3.91
258,Onega,76,RU,1514355538,97,63.91,38.09,265.606,2.96
259,General Roca,0,AR,1514355538,27,-39.03,-67.58,291.606,5.26
260,Bud,20,NO,1514353800,74,62.91,6.91,274.15,8.2
261,Leshukonskoye,76,RU,1514355539,85,64.9,45.76,263.031,2.06
262,Nikolskoye,75,RU,1514352600,93,59.7,30.79,276.15,6.0
263,Denpasar,20,ID,1514352600,70,-8.65,115.22,303.15,2.6
264,Inverness,80,GB,1514353800,100,57.48,-4.23,275.15,4.6
265,Chimoio,90,MZ,1514350800,100,-19.11,33.48,291.15,6.7
266,Vila Velha,75,BR,1514350800,78,-3.71,-38.6,300.15,4.6
267,Touros,76,BR,1514355549,90,-5.2,-35.46,299.231,5.41
268,Morwell,48,AU,1514355549,36,-38.24,146.4,303.531,1.11
269,Kangaatsiaq,8,GL,1514355550,100,68.31,-53.46,265.531,5.36
270,Razdolinsk,80,RU,1514355550,74,58.42,94.62,268.356,4.16
271,Tommot,0,RU,1514355551,41,58.97,126.27,239.931,1.11
272,Bubaque,0,GW,1514354400,43,11.28,-15.83,294.15,3.1
273,Rincon,1,US,1514354100,76,32.3,-81.24,282.15,4.6
274,Ahipara,0,NZ,1514355552,71,-35.17,173.16,292.231,8.21
275,Brae,68,GB,1514353800,86,60.4,-1.35,276.15,8.2
276,Liverpool,0,GB,1514353800,74,53.41,-2.98,276.15,7.2
277,Caxito,76,BR,1514355553,96,-22.65,-42.51,296.756,1.31
278,Getahovit,0,AM,1514355554,81,40.9,45.14,269.081,0.86
279,Abu Dhabi,20,AE,1514350800,77,24.47,54.37,293.15,1.0
280,Sassandra,12,CI,1514355558,100,4.95,-6.09,299.581,1.51
281,Richards Bay,0,ZA,1514355558,82,-28.77,32.06,294.756,4.06
282,Winchester,90,GB,1514353800,100,51.06,-1.31,274.15,6.2
283,San Cristobal,75,EC,1514350800,93,-0.39,-78.55,285.15,1.5
284,Hobyo,24,SO,1514355563,79,5.35,48.53,299.081,7.46
285,Dalvik,92,SE,1514353800,93,57.79,14.13,275.15,6.7
286,Hildburghausen,0,DE,1514353800,74,50.43,10.73,276.15,6.7
287,Khani,0,GE,1514352600,57,41.96,42.96,283.15,12.9
288,Betare Oya,0,CM,1514355565,51,5.6,14.08,291.456,1.86
289,Maragogi,68,BR,1514355565,98,-9.01,-35.22,297.356,2.51
290,Katsuura,40,JP,1514351040,52,33.93,134.5,278.15,8.2
291,Marquette,1,US,1514353080,69,46.54,-87.4,254.15,5.1
292,Mahajanga,40,MG,1514350800,83,-15.72,46.32,301.15,1.0
293,Eyl,32,SO,1514355567,94,7.98,49.82,297.131,8.06
294,Rexburg,90,US,1514354160,92,43.82,-111.79,266.15,1.36
295,Sergeyevka,76,KZ,1514355570,78,53.88,67.42,260.281,5.76
296,Dali,8,CN,1514355571,59,25.6,100.24,287.781,1.11
297,Labuhan,64,ID,1514355574,63,-2.54,115.51,303.856,1.36
298,Yucca Valley,1,US,1514354160,22,34.12,-116.41,285.15,1.06
299,Mwinilunga,12,ZM,1514355576,80,-11.73,24.43,293.631,1.51
300,Belmonte,20,PT,1514355577,91,40.36,-7.35,281.756,6.61
301,Kroya,88,ID,1514355577,65,-6.5,108.06,303.106,3.76
302,Groton,1,US,1514353980,51,42.61,-71.57,266.15,2.1
303,Oriximina,76,BR,1514355578,91,-1.77,-55.87,297.981,0.91
304,Luau,8,CD,1514355578,90,-10.7,22.23,294.456,1.46
305,Bereda,40,ES,1514354400,66,43.27,-7.54,284.15,5.7
306,Windhoek,0,NA,1514350800,20,-22.57,17.08,296.15,1.5
307,Saint Joseph,1,US,1514350380,70,39.77,-94.85,257.15,3.1
308,Grindavik,0,IS,1514352600,80,63.84,-22.43,273.15,12.3
309,Keti Bandar,0,PK,1514355581,90,24.14,67.45,296.181,0.61
310,Kununurra,32,AU,1514354400,50,-15.77,128.74,308.15,3.6
311,Dangara,0,NG,1514355581,56,11.43,7.3,287.756,5.71
312,Sherlovaya Gora,12,RU,1514355582,60,50.53,116.31,253.256,2.06
313,Champerico,40,MX,1514349720,82,16.38,-93.6,293.15,1.66
314,High Level,90,CA,1514354400,67,58.52,-117.13,240.15,1.0
315,Constitucion,12,MX,1514355588,58,23.99,-104.67,282.006,2.71
316,Matli,0,PK,1514355590,50,25.04,68.66,296.381,1.31
317,Kavieng,24,PG,1514355591,100,-2.57,150.8,302.356,1.41
318,Chokurdakh,0,RU,1514355591,26,70.62,147.9,245.856,4.21
319,Nimbahera,0,IN,1514355592,79,24.63,74.69,292.831,2.01
320,Cajati,92,BR,1514355592,99,-24.73,-48.11,293.431,2.66
321,Angoche,92,MZ,1514355593,100,-16.23,39.91,298.706,2.11
322,Saint-Pierre,90,FR,1514354400,86,48.95,4.24,279.15,9.8
323,Batticaloa,80,LK,1514355594,99,7.71,81.69,299.756,5.66
324,Hollister,1,US,1514354100,80,36.85,-121.4,283.15,0.96
325,Tres Picos,40,MX,1514349720,82,16.23,-93.58,293.15,1.66
326,Gamba,0,CN,1514355596,53,28.28,88.52,267.206,1.31
327,Santa Maria da Vitoria,44,BR,1514355596,76,-13.39,-44.19,294.381,1.61
328,Alice Springs,90,AU,1514354400,19,-23.7,133.88,311.15,9.3
329,Mugur-Aksy,48,RU,1514355597,77,50.38,90.44,265.181,1.06
330,San Rafael,0,AR,1514355600,29,-34.61,-68.33,290.781,2.61
331,Yumen,0,CN,1514355601,45,40.29,97.04,277.956,2.46
332,Sao Filipe,44,CV,1514355603,95,14.9,-24.5,296.681,7.21
333,Maracaju,68,BR,1514355605,96,-21.61,-55.17,295.206,2.06
334,Serra Talhada,68,BR,1514355605,60,-7.99,-38.29,298.331,3.66
335,Nador,40,MA,1514354400,58,35.17,-2.93,288.15,4.1
336,Nazarovo,0,RU,1514355606,77,56.01,90.42,264.781,2.56
337,Itarema,44,BR,1514355607,91,-2.92,-39.92,297.606,3.36
338,Columbus,90,US,1514354280,87,32.46,-84.99,282.15,1.5
339,Salalah,0,OM,1514350200,64,17.01,54.1,296.15,1.5
340,Katiola,0,CI,1514350800,43,8.14,-5.1,295.15,2.1
341,Ostrovnoy,36,RU,1514355609,83,68.05,39.51,259.106,6.81
342,Marawi,88,PH,1514355609,99,8.0,124.29,295.881,1.21
343,Moree,8,AU,1514355610,46,-29.46,149.84,303.581,6.36
344,Tabou,0,CI,1514355610,99,4.42,-7.36,300.531,1.36
345,Hasaki,20,JP,1514352600,26,35.73,140.83,280.15,7.7
346,Almeirim,75,PT,1514354400,82,39.21,-8.63,287.15,4.1
347,Ginir,0,ET,1514355611,28,7.14,40.71,293.631,1.61
348,Sandnessjoen,40,NO,1514353800,54,66.02,12.63,271.15,7.7
349,Sant Feliu de Guixols,75,ES,1514354400,70,41.78,3.03,281.15,3.1
350,Charters Towers,0,AU,1514355618,51,-20.07,146.27,304.456,5.61
351,Pangkalanbuun,80,ID,1514355620,76,-2.68,111.62,303.456,3.11
352,Sinnamary,88,GF,1514355620,100,5.38,-52.96,298.731,4.76
353,Santa Cruz,1,US,1514354160,93,36.97,-122.03,283.15,1.16
354,Vao,68,EE,1514355622,97,59.1,26.19,275.831,5.06
355,Te Anau,0,NZ,1514355622,52,-45.41,167.72,288.856,1.91
356,Kenai,1,US,1514354160,100,60.55,-151.26,261.15,2.1
357,Northam,20,GB,1514350200,69,51.04,-4.21,277.15,6.7
358,Caravelas,92,BR,1514355624,100,-17.73,-39.27,299.256,5.26
359,Galesburg,1,US,1514355300,76,40.95,-90.37,256.15,2.6
360,Nazas,64,MX,1514355625,86,25.22,-104.11,283.856,1.21
361,Olinda,75,EC,1514350800,69,-2.03,-79.75,298.15,4.1
362,Magadi,0,IN,1514354400,49,12.96,77.22,296.15,3.6
363,Zhigansk,24,RU,1514355628,48,66.77,123.37,239.131,3.26
364,Mashhad,44,IR,1514352600,60,36.3,59.61,277.15,2.1
365,Belyy Yar,44,RU,1514352600,92,53.6,91.39,268.15,2.0
366,Deputatskiy,0,RU,1514355632,0,69.3,139.9,236.331,1.21
367,Beidao,0,CN,1514355634,68,34.57,105.89,279.506,2.91
368,Lata,48,IN,1514355634,73,30.78,78.62,283.531,0.76
369,Broome,75,GB,1514354160,93,52.47,1.45,279.15,4.6
370,Nouadhibou,56,MR,1514355635,75,20.93,-17.03,289.106,7.91
371,Japura,12,ID,1514355636,55,-0.42,102.29,305.781,1.51
372,Praia da Vitoria,40,PT,1514354400,82,38.73,-27.07,287.15,8.51
373,Opuwo,56,NA,1514355637,91,-18.06,13.84,292.081,1.46
